[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-21 23:40:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-06-21T22:40:10.048000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2025-06-21T22:39:30.241000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1386113328442773718', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '** user** @user\ntweet test', 'components': [], 'channel_id': '1167851339066380361', 'author': {'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'id': '1386002700138975292', 'global_name': None, 'discriminator': '0456', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}, 'pinned': False, 'nonce': '1386113496625709056', 'message_reference': {'type': 0, 'message_id': '1386113328442773718', 'guild_id': '1167851339066380358', 'channel_id': '1167851339066380361'}, 'mentions': [{'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1386098286175326250'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386002700138975292', 'global_name': None, 'discriminator': '0456', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-28T15:44:16.888000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386113495405170779', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'tweet test3', 'components': [], 'channel_type': 0, 'channel_id': '1167851339066380361', 'author': {'username': 'lucasthebaguettetheif', 'public_flags': 256, 'primary_guild': None, 'id': '874047746854752286', 'global_name': 'LucasTheBaguetteThief', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c6fdec9fac40338961ed194706319a70'}, 'attachments': [], 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event message
[2025-06-21 23:40:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 6, 'op': 0, 'd': {'id': '1386113495405170779', 'channel_id': '1167851339066380361', 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-06-21 23:40:10] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-06-21 23:40:10] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1167851339066380361/messages/1386113495405170779 with None has returned 204
[2025-06-21 23:40:10] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-21 23:40:10] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1167851339066380361/messages/1386113495405170779 has received 
[2025-06-21 23:40:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-21T22:40:10.393000+00:00', 'pinned': False, 'nonce': '18140766752668020578', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1386098286175326250'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386113496852205650', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '*replying to @user*\n** user** @user\ntweet test3', 'components': [], 'channel_type': 0, 'channel_id': '1167851339066380361', 'author': {'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'id': '1386002700138975292', 'global_name': None, 'discriminator': '0456', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:11] [DEBUG   ] discord.client: Dispatching event message
[2025-06-21 23:40:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1167851339066380361/messages with {"content":"*replying to @user*\n** user** @user\ntweet test3","components":[],"nonce":"18140766752668020578","enforce_nonce":true,"tts":false} has returned 200
[2025-06-21 23:40:11] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-21 23:40:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1167851339066380361/messages has received {'type': 0, 'content': '*replying to @user*\n** user** @user\ntweet test3', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-21T22:40:10.393000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1386113496852205650', 'channel_id': '1167851339066380361', 'author': {'id': '1386002700138975292', 'username': 'disctweet', 'avatar': None, 'discriminator': '0456', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '18140766752668020578'}
[2025-06-21 23:40:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '874047746854752286', 'timestamp': 1750545614, 'member': {'user': {'username': 'lucasthebaguettetheif', 'public_flags': 256, 'primary_guild': None, 'id': '874047746854752286', 'global_name': 'LucasTheBaguetteThief', 'display_name': 'LucasTheBaguetteThief', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c6fdec9fac40338961ed194706319a70'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-28T15:44:16.888000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1167851339066380361', 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:15] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-21 23:40:15] [DEBUG   ] discord.client: Dispatching event raw_typing
